code,id,tree,tree position,tree id,tree position,row,Cultivar number ,Site,block,Cultivar,planting date,A1,B1,C1,D1,E1,A2,B2,C2,D2,E2,A3,B3,C3,D3,E3,A4,B4,C4,D4,E4,Heath,comments,,,,,,,,,
HMS28,S2-8,tree 2,21,S2-8-21,21,17,8,Scripps,2,Rubens,Dec,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,9,24,16,0,2,dead,0,,,,,,,,
HMS32,S3-2,tree 1,161,S3-2-161,161,17,2,Scripps,3,Golden Delicious,April,0,0,0,0,0,0,2,2,1,0,1,4,6,6,0,4,7,10,5,0,2,dead,0,,,,,,,,
HMS32,S3-2,tree 2,162,S3-2-162,162,17,2,Scripps,3,Golden Delicious,April,0,0,0,0,0,0,3,5,0,0,0,6,8,0,0,3,17,15,2,0,2,dead,0,,,,,,,,
HMS33,S3-3,tree 1,87,S3-3-87,87,17,3,Scripps,3,Grenadier,April,0,0,0,0,0,0,0,1,0,0,0,2,8,1,0,0,12,17,12,0,2,dead,0,,,,,,,,
HMS33,S3-3,tree 2,89,S3-3-89,89,17,3,Scripps,3,Grenadier,April,0,0,0,0,0,0,3,5,1,0,0,2,11,0,0,0,8,0,0,0,2,dead,0,,,,,,,,
HMS34,S3-4,tree 1,100,S3-4-100,100,17,4,Scripps,3,Gala,April,0,0,0,0,0,0,3,3,1,0,0,6,2,0,0,0,10,7,0,0,2,dead,0,,,,,,,,
HMS34,S3-4,tree 2,101,S3-4-101,101,17,4,Scripps,3,Gala,April,0,1,0,0,0,0,2,2,1,0,0,3,0,0,0,1,8,12,0,0,2,dead,0,,,,,,,,
HMS35,S3-5,tree 1,113,S3-5-113,113,17,5,Scripps,3,Braeburn,April,0,1,0,0,0,0,4,5,0,0,1,7,7,2,0,0,5,6,0,0,2,dead,0,,,,,,,,
HMS35,S3-5,tree 2,114,S3-5-114,114,17,5,Scripps,3,Braeburn,April,0,0,0,0,0,0,3,7,0,0,1,6,10,1,0,0,6,20,1,0,2,dead,0,,,,,,,,
HMS36,S3-6,tree 1,136,S3-6-136,136,17,6,Scripps,3,Jazz,April,0,0,0,0,0,0,2,1,0,0,0,3,2,0,0,0,4,10,8,0,2,dead,0,,,,,,,,
HMS36,S3-6,tree 2,137,S3-6-137,137,17,6,Scripps,3,Jazz,April,0,0,0,0,0,0,0,1,1,1,0,0,1,3,0,0,5,15,13,2,2,dead,0,,,,,,,,
HMS37,S3-7,tree 1,122,S3-7-122,122,17,7,Scripps,3,Kanzi,April,0,1,0,0,0,0,3,0,0,0,0,4,1,0,0,0,10,3,0,0,2,dead,0,,,,,,,,
HMS37,S3-7,tree 2,123,S3-7-123,123,17,7,Scripps,3,Kanzi,April,0,0,0,0,0,0,4,0,1,1,0,1,0,0,0,0,11,0,0,0,2,dead,0,,,,,,,,
HMS38,S3-8,tree 1,148,S3-8-148,148,17,8,Scripps,3,Rubens,April,0,0,0,0,0,0,0,1,0,1,0,0,5,0,0,0,7,13,4,0,2,dead,0,,,,,,,,
HMS38,S3-8,tree 2,149,S3-8-149,149,17,8,Scripps,3,Rubens,April,0,0,0,0,0,0,1,0,0,0,0,2,2,1,0,0,14,14,8,0,2,dead,0,,,,,,,,
