ID,tree position,row,Cultivar number ,Site,block,Cultivar,planting date,A1,B1,C1,D1,E1,A2,B2,C2,D2,E2,A3,B3,C3,D3,E3,A4,B4,C4,D4,E4,Heath,comments
A1-8-101,101,1,8,Avalon,1,Rubens,Dec,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1,1,0,0,top broken
A1-8-102,102,1,8,Avalon,1,Rubens,Dec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,top broken
A1-8-103,103,1,8,Avalon,1,Rubens,Dec,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,top broken
A1-8-104,104,1,8,Avalon,1,Rubens,Dec,0,1,0,0,0,0,2,0,0,0,0,3,0,0,0,0,4,0,0,0,0,top broken
A1-8-105,105,1,8,Avalon,1,Rubens,April,0,1,0,0,0,0,2,0,0,0,0,3,3,0,0,0,5,2,0,0,0,top broken
A1-8-106,106,1,8,Avalon,1,Rubens,April,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,top broken
A1-8-107,107,1,8,Avalon,1,Rubens,April,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,top broken
A1-8-108,108,1,8,Avalon,1,Rubens,April,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,0,0,0,top broken
A1-8-109,109,1,8,Avalon,1,Rubens,April,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,top broken
A1-8-110,110,1,8,Avalon,1,Rubens,April,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,top broken
A1-8-111,111,1,8,Avalon,1,Rubens,April,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,top broken
A1-8-112,112,1,8,Avalon,1,Rubens,April,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,2,3,1,0,0,very small
A2-5-1,1,2,5,Avalon,2,Braeburn,Dec,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,4,22,16,0,0,
A2-5-2,2,2,5,Avalon,2,Braeburn,Dec,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,5,16,6,0,0,
A2-5-3,3,2,5,Avalon,2,Braeburn,Dec,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,3,13,11,0,0,
A2-5-4,4,2,5,Avalon,2,Braeburn,Dec,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,8,19,19,0,0,
A2-5-5,5,2,5,Avalon,2,Braeburn,Dec,0,0,0,0,0,0,1,1,0,0,0,0,3,0,0,0,5,20,18,0,0,
A2-5-6,6,2,5,Avalon,2,Braeburn,Dec,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,16,18,3,0,
A2-5-7,7,2,5,Avalon,2,Braeburn,Dec,0,0,0,0,0,0,1,3,0,0,0,2,3,0,0,0,11,34,24,0,0,
A2-5-8,8,2,5,Avalon,2,Braeburn,Dec,0,0,0,0,0,0,1,2,0,0,0,0,2,0,0,0,8,13,17,0,0,
A2-5-9,9,2,5,Avalon,2,Braeburn,April,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,6,19,8,2,0,
A2-5-10,10,2,5,Avalon,2,Braeburn,April,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,5,13,22,0,0,
A2-5-11,11,2,5,Avalon,2,Braeburn,April,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,9,20,6,0,
A2-5-12,12,2,5,Avalon,2,Braeburn,April,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,5,13,11,0,0,
A2-5-13,13,2,5,Avalon,2,Braeburn,April,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
