Well,Target,Content,Replicate,Sample,Dilution,Cq,PlateID,Concentration,Efficiency,TCN,CqAdjusted,AdjustedTCN,mg,TCN_mg,AdjustedTCN_mg
J12,ITS,Unkn,54,S5-7,200,22.1380398628376,plate 2,0.005,2.0164149985349997,2.612135339042256e7,22.1380398628376,9.344661341895778e6,131.0,9.969982210084947e6,3.5666646343113654e6
J19,16S,Unkn,98,S5-7,100,15.6560157871745,plate 2,0.01,2.0317240636387544,7.175601093497092e7,15.6560157871745,7.175601093497092e7,131.0,2.7387790433195006e7,2.7387790433195006e7
J20,16S,Unkn,98,S5-7,100,15.6064368192145,plate 2,0.01,2.0317240636387544,7.427557263558531e7,15.6064368192145,7.427557263558531e7,131.0,2.834945520442187e7,2.834945520442187e7
J21,16S,Unkn,98,S5-7,100,15.5772962784413,plate 2,0.01,2.0317240636387544,7.579755447355498e7,15.5772962784413,7.579755447355498e7,131.0,2.893036430288358e7,2.893036430288358e7
J22,16S,Unkn,110,S5-7,200,16.6172895638996,plate 2,0.005,2.0317240636387544,7.350133601473464e7,16.6172895638996,7.350133601473464e7,131.0,2.8053945043791845e7,2.8053945043791845e7
J23,16S,Unkn,110,S5-7,200,16.560224166705,plate 2,0.005,2.0317240636387544,7.647968702453521e7,16.560224166705,7.647968702453521e7,131.0,2.9190720238372214e7,2.9190720238372214e7
J24,16S,Unkn,110,S5-7,200,16.5956338694499,plate 2,0.005,2.0317240636387544,7.461768128008848e7,16.5956338694499,7.461768128008848e7,131.0,2.8480031022934534e7,2.8480031022934534e7
K07,ITS,Unkn,43,S5-8,100,20.6781951116103,plate 2,0.01,2.020804361994254,3.357250495309354e7,20.6781951116103,1.285258930737591e7,147.2,1.140370412808884e7,4.365689302777143e6
K08,ITS,Unkn,43,S5-8,100,20.6720827839976,plate 2,0.01,2.020804361994254,3.370547720706376e7,20.6720827839976,1.2907157935667388e7,147.2,1.1448871333921114e7,4.384224842278325e6
K09,ITS,Unkn,43,S5-8,100,20.6930023239187,plate 2,0.01,2.020804361994254,3.3252548177004833e7,20.6930023239187,1.2721350403807316e7,147.2,1.1295023157950012e7,4.321110870858463e6
K10,ITS,Unkn,55,S5-8,200,21.6481197833815,plate 2,0.005,2.020804361994254,3.585887542968019e7,21.6481197833815,1.312333472756313e7,147.2,1.2180324534538109e7,4.457654459090737e6
K11,ITS,Unkn,55,S5-8,200,21.7283877249955,plate 2,0.005,2.020804361994254,3.4044916837827615e7,21.7283877249955,1.2413125552856272e7,147.2,1.1564170121544706e7,4.216414929638679e6
K12,ITS,Unkn,55,S5-8,200,21.6226425837898,plate 2,0.005,2.020804361994254,3.6454596682155535e7,21.6226425837898,1.3357143983875006e7,147.2,1.238267550344957e7,4.537073364087977e6
K19,16S,Unkn,99,S5-8,100,15.5362260212288,plate 2,0.01,1.9656791805718066,7.799571290626508e7,15.148253488859169,1.0217739433065227e8,147.2,2.649310900348678e7,3.470699535687917e7
K20,16S,Unkn,99,S5-8,100,15.5022876600718,plate 2,0.01,1.9656791805718066,7.9860182465906e7,15.115162640599097,1.0455822123788965e8,147.2,2.712642067456046e7,3.551570014873969e7
K21,16S,Unkn,99,S5-8,100,15.5110224227882,plate 2,0.01,1.9656791805718066,7.937610414215574e7,15.123679277754881,1.0394021409572631e8,147.2,2.6961991896112684e7,3.530577924447225e7
K22,16S,Unkn,111,S5-8,200,16.5410834615717,plate 2,0.005,1.9656791805718066,7.750546691577703e7,16.128017506560845,1.0332422812239291e8,147.2,2.6326585229543827e7,3.50965448785302e7
K23,16S,Unkn,111,S5-8,200,16.5446619206385,plate 2,0.005,1.9656791805718066,7.731265164103433e7,16.131506603911085,1.0307359307343681e8,147.2,2.6261090910677426e7,3.501141069070544e7
K24,16S,Unkn,111,S5-8,200,16.5406258235596,plate 2,0.005,1.9656791805718066,7.753016011827128e7,16.12757129674104,1.0335632498300515e8,147.2,2.6334972866260625e7,3.5107447344770774e7
L01,ITS,Unkn,12,S2-7,100,20.4922870015945,plate 2,0.01,1.994282180834007,3.786157458716833e7,20.407644803300816,1.5503665455472324e7,171.1,1.1064165571936974e7,4.530586047770989e6
L02,ITS,Unkn,12,S2-7,100,20.4322036983555,plate 2,0.01,1.994282180834007,3.936170642158926e7,20.347809670647482,1.6160193555463701e7,171.1,1.1502544249441631e7,4.722441132514232e6
L03,ITS,Unkn,12,S2-7,100,20.4577680494507,plate 2,0.01,1.994282180834007,3.871629656614463e7,20.37326842967897,1.5877521446151586e7,171.1,1.1313938213367805e7,4.63983677561414e6
L04,ITS,Unkn,28,S2-7,200,21.4058868179938,plate 2,0.005,1.994282180834007,4.194027014450246e7,21.31747104885296,1.6503626763838882e7,171.1,1.2256069592198264e7,4.822801509011947e6
L05,ITS,Unkn,28,S2-7,200,21.4720623460232,plate 2,0.005,1.994282180834007,4.018323428665813e7,21.383373242716914,1.576670188822427e7,171.1,1.17426166822496e7,4.60745233437296e6
L06,ITS,Unkn,28,S2-7,200,21.5167523046355,plate 2,0.005,1.994282180834007,3.90384963811792e7,21.427878612057242,1.5287744119802656e7,171.1,1.1408093623956516e7,4.467488053712056e6
L13,16S,Unkn,68,S2-7,100,14.9143103597381,plate 2,0.01,2.0275885681230124,1.2024743692607355e8,14.9143103597381,1.2024743692607355e8,171.1,3.513951984981693e7,3.513951984981693e7
L14,16S,Unkn,68,S2-7,100,14.735938676993,plate 2,0.01,2.0275885681230124,1.361437113294588e8,14.735938676993,1.361437113294588e8,171.1,3.978483674151339e7,3.978483674151339e7
L15,16S,Unkn,68,S2-7,100,14.7922171135104,plate 2,0.01,2.0275885681230124,1.3091355452664721e8,14.7922171135104,1.3091355452664721e8,171.1,3.825644492304126e7,3.825644492304126e7
