Target,Sample,N,Efficiency,MeanTCN,MeanAdjustedTCN,MeanAdjustedTCN_mg,StdTCN,StdAdjustedTCN,StdAdjustedTCN_mg,MedTCN,MedAdjustedTCN,MedAdjustedTCN_mg
ITS,W5-2,6,1.810595264386619,4.977086356764992e7,2.0212607976854846e8,7.558940903835021e7,5.46133510949968e6,1.067601455184477e7,3.992526010413152e6,5.061749965071125e7,2.0343168864054322e8,7.607766964866987e7
16S,W1-7,6,1.9442354974016864,4.996733196248969e7,7.377862200348681e7,2.567105845632805e7,3.5140777772664414e6,4.363254262064151e6,1.518181719576949e6,4.862493997438733e7,7.359529991427055e7,2.5607272064812306e7
16S,W5-2,6,1.9420926131830492,4.329989849024591e7,6.548929076874179e7,2.4491133421369404e7,1.6431908678110258e6,1.390753035668381e6,520102.10757979914,4.3677401110559784e7,6.565152510279318e7,2.455180445130635e7
ITS,W5-3,6,1.9231029813653604,7.230563031804787e7,8.067143757293653e7,2.942065556999873e7,5.056641450109979e6,5.618542453148831e6,2.0490672695655837e6,7.2020652991411e7,7.98449890412658e7,2.9119252020884685e7
16S,W5-3,6,2.006465908136189,7.062830404602218e7,6.418902268171678e7,2.3409563341253385e7,1.2743250946776879e6,939457.358133415,342617.56314128987,7.001936775595847e7,6.4049945006278455e7,2.3358842088358298e7
ITS,W5-4,6,1.9775032746272052,8.872214317449151e7,5.566950260500482e7,2.0451690890890826e7,5.349424640536937e6,3.0596851229674947e6,1.1240577233532306e6,8.879835822106756e7,5.51703260643727e7,2.026830494649989e7
16S,W5-4,6,2.0451520037711175,6.0487420496149756e7,5.489493521957379e7,2.0167132703737613e7,5.876144729835935e6,5.208611068812486e6,1.9135235374035574e6,5.828173856224727e7,5.288492557292375e7,1.942870153303591e7
ITS,W3-3,6,1.8857483001761801,5.5288211308738224e7,9.379221716017844e7,3.5743985198238745e7,3.9224228024695804e6,5.420221114312853e6,2.065633046613131e6,5.424084985100116e7,9.213727330489093e7,3.51132901314371e7
16S,W3-3,6,1.98127266303864,6.066839336671394e7,6.461694879285678e7,2.4625361582643595e7,2.9918492452502325e6,3.136588675826247e6,1.1953462941411007e6,5.971796435667251e7,6.388818714949782e7,2.4347632297826916e7
ITS,W3-4,6,1.958840636946438,3.656676150629005e7,2.7400487898094013e7,1.006630708967451e7,1.5685538198653883e6,1.0991499522635771e6,403802.3336750831,3.688784960505798e7,2.7789182049570438e7,1.0209104353258794e7
ITS,W5-6,6,1.8639320043513692,2.704661173000978e7,6.111851401890296e7,2.30984557894569e7,1.6990036787978467e6,2.181498699359321e6,824451.5114736657,2.7593585660783254e7,6.04863744067377e7,2.285955192998401e7
16S,W3-4,6,2.0595138480914197,3.897080807097699e7,3.523728277975139e7,1.294536472437597e7,2.016091855287136e6,1.6369843119236107e6,601390.268891848,3.933354676917955e7,3.557496153049524e7,1.306942010672125e7
16S,W5-6,6,1.9610686675706621,2.860465436361746e7,3.681597322458649e7,1.3913822080342585e7,1.633331706556433e6,1.918960594503173e6,725230.7613390675,2.8647680027286842e7,3.748423467190875e7,1.4166377427025227e7
ITS,W3-5,6,1.9090332979593572,5.406852544912676e7,7.070172127559957e7,2.6224674063649688e7,1.5267527766982815e6,1.5897558566102937e6,589672.0536388339,5.449197464157304e7,7.0843700608185e7,2.6277337020840127e7
ITS,W5-7,6,1.8529632179842979,1.593122497414645e7,4.248604330504583e7,1.6081015634006746e7,1.303172528301898e6,2.2971223147905697e6,869463.4045384444,1.6252000389547724e7,4.210766883541469e7,1.5937800467605866e7
16S,W3-5,6,1.955336145635887,5.701519075343881e7,7.606958559125113e7,2.821572165847594e7,2.0333068701653616e6,2.0152863880376352e6,747509.7878477862,5.6088846334861845e7,7.637480110118699e7,2.832893215919399e7
16S,W5-7,5,1.9451349280956698,3.0343434687212408e7,4.4937732310528494e7,1.7008982706483155e7,996609.3600419778,690556.7788002868,261376.5249054829,3.0854907569552016e7,4.5019945798756234e7,1.7040100605131052e7
ITS,W5-8,6,1.8611734974831007,2.847812309084548e7,6.631658474544346e7,2.39583037375157e7,1.7080617588626265e6,1.5484894312342494e6,559425.3725557254,2.8262154168917745e7,6.5997071776253924e7,2.3842872751536824e7
16S,W5-8,6,1.9668832335833655,2.6783162322392996e7,3.270691354451624e7,1.1816081482845461e7,2.9437096202145796e6,3.4462115943686524e6,1.2450186395840505e6,2.6763424417041235e7,3.311411021777592e7,1.1963190107578006e7
ITS,W3-7,6,1.861766783234227,5.7294218839841165e7,1.2729195111375524e8,4.792618641331146e7,3.4591444743475053e6,3.2893300711982576e6,1.2384525870475376e6,5.737726187845151e7,1.257032379957244e8,4.732802635381189e7
16S,W3-7,6,1.9679441885748414,4.018840803197563e7,4.830581600116102e7,1.81874307233287e7,1.1222464732562152e6,1.1525789387262512e6,433952.913677052,4.017637408304806e7,4.841365125611878e7,1.8228031346430264e7
ITS,W3-8,6,1.8469277000441107,3.0846501603760913e7,8.473454261633074e7,3.0436258123682022e7,2.1436753920326587e6,1.7525196506542142e6,629497.0009533815,3.059441190290805e7,8.48870934682224e7,3.0491053688298278e7
16S,W3-8,6,1.9079085349992218,2.616515580111009e7,5.560053834794434e7,1.9971457739922535e7,1.5766766877687562e6,1.1816348001686672e6,424437.78741690604,2.661015514569199e7,5.542151159750357e7,1.9907152154275708e7
ITS,W4-2,6,1.916428109026222,2.733450603610629e7,3.321658852808543e7,1.2553510403660402e7,529131.9630889053,504970.09698869765,190842.81821190382,2.7345756941650704e7,3.3363478202491753e7,1.2609024263980253e7
16S,W4-2,6,1.9788470888104963,2.9667220725222398e7,3.242898890692022e7,1.225585370631905e7,1.0408579078979904e6,1.1196598453927042e6,423151.86900706874,2.988158618124219e7,3.2628009351628765e7,1.233106929388842e7
ITS,W4-3,6,1.8436172860576985,8.1580096421988355e6,2.565774700656269e7,1.0304316066892644e7,695086.4040153878,1.2539663339480762e6,503600.9373285448,8.216104366892673e6,2.5669501894842513e7,1.0309036905559242e7
16S,W4-3,5,1.8724484100813608,2.5001897543245308e7,7.392437341809234e7,2.9688503380759966e7,2.1414947938467124e6,1.2724784418880204e6,511035.5188305292,2.572338486858051e7,7.394233501613376e7,2.9695716873949297e7
ITS,S1-2,6,1.816502899816573,5.1133589291000426e7,1.419808677806783e8,4.707588454266521e7,4.380767748714307e6,7.246903429063389e6,2.402819439344626e6,4.937450382361996e7,1.4304750830594492e8,4.742954519427882e7
ITS,A1-3,6,1.865019673282486,6.318726189268354e8,8.743943921688663e8,2.8407874989241916e8,3.246921048469359e7,4.044496699788338e7,1.3140015268967947e7,6.41558553949366e8,8.697961406803824e8,2.8258484102676487e8
16S,S1-2,6,1.954637870688575,1.214585231606304e8,1.5951344757263383e8,5.288907412885737e7,5.559352194384272e6,6.604352661299356e6,2.1897721025528368e6,1.2289437053536329e8,1.5951032294649315e8,5.288803811223247e7
16S,A1-3,6,2.0015272927171526,7.293368857785976e7,6.297106296063999e7,2.045843500995451e7,1.3597172924272812e6,965737.0131579519,313754.71512604074,7.295984471774685e7,6.2542634149728954e7,2.0319244363134813e7
